H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi
0.12855154,-0.16381808,0.25688508,0.20050988,0.07345608,-0.026102792,-0.11519148,-0.08159467,0.14784598,0.2660562,0.28887117,-0.0165018,0.04134463,0.0274935,-0.2385528,0.0046115452,-0.20273308,0.0030526742,0.5130274,0.0741517,-0.247332,0.11050592,0.33911708,-0.056177747,-0.14401323,-0.13773204,-0.20914984,-0.10809065,-0.21579045,-0.12783334,0.18484317,0.11655114,0.002335312,-0.25859913,-0.15723349,0.7693579,0.10854615,-0.28010708,-0.24820194,0.06532822,-0.07505554,-0.0658226,0.45712662,-0.22834547,-0.3455748,-0.14039817,0.079138786,-0.210807,0.017756907,-0.008684817,0.09925,0.19532543,0.036599893,0.11624794,-0.03983308,0.16928259,-0.053091798,-0.06980538,-0.17134446,-0.2602771,-0.33693042,0.050738085,-0.12309652,0.016986145,-0.3766698,-0.28912538,-0.43623468,-0.27786016,0.3840213,-0.34147102,-0.4327851,-0.38069084,-0.024222462,0.36033398,-0.21137239,-0.7106488,-0.42108306,-0.14617518,-0.037536908,-0.111900985,0.07661295,0.02053594,0.094813
-0.32707068,-0.26526123,-0.109140195,-0.1633922,-0.009368258,-0.096550494,-0.12073608,-0.20143405,-0.14633918,-0.49401864,0.076397225,0.0045879465,0.060178217,-0.11526571,0.18196516,0.046855595,-0.22697757,-0.28330687,0.16568266,0.15817313,-0.17018324,-0.1238959,0.3349124,0.018566826,0.014553966,0.06023109,0.22279796,0.039110366,0.095347695,0.20720817,0.17613205,-0.33111128,0.15074667,-0.12703249,-0.123200685,-0.08746216,0.26791802,0.09607555,-0.14028846,-0.12605174,-0.063602105,0.057162836,0.21037872,-0.18195243,-0.3683982,-0.18331999,0.033530254,0.046336733,-0.009364051,-0.10016315,-0.20523976,-0.099347994,-0.0050366432,-0.13648109,-0.010346233,0.2640482,0.07224787,-0.059041984,0.3898453,-0.023649784,-0.4429934,0.01109388,-0.09936329,-0.15522347,0.07211247,-0.010277249,-0.5464204,-0.022062473,0.11246066,-0.21781382,-0.41822565,-0.19835,-0.004797157,0.47888267,0.25875038,-0.022284156,-0.18329766,-0.11047663,-0.1967683,0.05427565,0.316399,0.096780635,-0.10163349
0.23733667,0.124327466,-0.17913029,-0.15178414,0.07340245,0.01249377,0.1720779,0.23480892,0.06539193,0.14346628,0.238,0.21938644,0.11429037,0.1468779,0.23921455,-0.015737168,0.23488346,0.68091094,0.28545368,-0.028597727,0.1424722,0.26603672,-0.25834456,0.1443983,-0.023134109,0.022253325,0.11188066,0.16262354,-0.012489789,0.08952947,0.13854873,-0.041550115,-0.00049632404,-0.0030942822,0.016812885,0.3877129,-0.35318974,0.10305224,-0.034253754,0.02304697,0.20555918,-0.13927892,0.424505,0.23692138,0.17597449,-0.028184582,-0.124631315,-0.064646006,0.14394516,-0.045350373,-0.20978124,0.121541336,0.15930498,0.06908408,0.1113222,0.07697679,0.017193167,0.12885009,0.22812662,-0.12621385,0.3151415,0.23007786,-0.085372575,-0.13603055,-0.23900738,-0.008323489,0.17437428,0.016186794,0.41525525,-0.02356503,-0.25058404,-0.03019532,0.1104559,-0.08788525,-0.09665297,-0.050305046,0.1344956,-0.1420868,-0.26680258,-0.25897747,-0.24415906,-0.06422254,-0.14567883
-0.22827177,-0.27507323,-0.2114352,0.14542598,0.063453585,-0.020241983,-0.12036767,-0.17594735,-0.1618932,-0.29375783,0.17895168,0.076277174,-0.022483407,-0.32234582,-0.26707205,-0.27165484,-0.17517465,-0.39611742,0.051706698,0.06004995,0.09572864,-0.08622772,-0.20053641,-0.11890911,-0.11219455,-0.05476725,-0.08641607,-0.0705417,0.075229034,0.10599481,0.19633785,-0.3807397,0.026466308,-0.33035713,-0.18420817,-0.2751539,0.3326641,-0.14203912,-0.051404823,0.049295515,0.08384835,-0.09478645,-0.06408349,-0.11043603,-0.17404123,0.09865953,0.41907558,0.00432206,0.07674183,0.0034300913,0.056558274,-0.14274152,-0.27630642,-0.5801749,-0.095453314,-0.07750555,0.13155,0.19323525,-0.003621013,0.19674276,-0.212696,0.008593803,0.38156757,0.5499265,0.27773127,0.40674496,0.013231484,0.08693085,0.21812604,0.031740613,-0.29094282,-0.13356188,0.27892467,-0.25339237,-0.11367873,-0.32525623,-0.11107653,0.04445257,0.12999342,0.077431336,-0.119822495,-0.030342778,0.039629065
-0.028169768,0.09729153,-0.048242174,-0.11096828,-0.01933802,-0.00027725284,0.027254347,-0.17797953,0.12423983,0.057822492,-0.3313203,-0.078049235,-0.0934059,0.2645009,-0.02675048,-0.16843133,-0.21011305,-0.03870439,-0.3173739,-0.15560131,-0.2527097,-0.021587837,-0.14163096,-0.17124915,-0.13502567,-0.20116036,-0.28909755,-0.23521882,-0.09727736,-0.108366765,0.28357053,0.22504243,-0.043392368,-0.269595,-0.2221657,-0.101844124,-0.21259676,-0.05685979,0.2013147,-0.25983712,-0.11266116,-0.27066824,-0.3202848,-0.09446572,-0.13040663,-0.10298959,0.06092463,0.097559325,-0.022831503,-0.13772255,-0.10593999,-0.09171823,-0.2837451,-0.017694473,-0.3867269,0.00508943,0.105232395,0.2150033,-0.119253464,0.11269914,-0.21964747,0.2822886,0.7017872,0.293135,0.06896427,0.05138331,0.3344091,0.25672984,-0.0005151112,0.110790595,0.05883979,0.096529804,-0.2448664,0.1178473,-0.04132431,-0.34953955,-0.021205401,0.21578245,0.15701334,-0.21015064,-0.28340602,0.16126668,0.16415189
0.40091646,0.3734807,0.36593023,0.3688123,0.5144785,0.36178097,0.22809288,0.13448936,0.42609838,0.07848919,0.13337345,0.22660421,0.039099157,-0.087867744,0.3765854,0.18744354,-0.1711079,0.36475366,0.056465276,0.32346326,0.23469648,-0.13934736,0.3792963,0.10717074,0.054558676,0.09783219,-0.00873369,0.10738389,-0.12131023,-0.004293279,0.1629628,-0.19359495,0.020266106,0.042951953,-0.13987032,-0.09616385,-0.17564614,0.21660018,0.36872405,0.15648268,-0.066248946,0.12069738,-0.0357486,0.051401436,0.07968034,0.22514325,-0.07447238,-0.07420031,0.041519765,-0.065772824,-0.27392998,-0.21900499,0.19686523,-0.0012417645,0.23719104,0.21215041,0.28466803,0.14698566,0.28091028,0.088218115,0.61983067,0.44912365,-0.016851263,0.5545581,0.34928864,0.3117653,0.20820133,-0.2340502,-0.16465636,-0.1300695,0.7367823,0.29133993,0.07197527,0.22249158,0.2601044,0.35032514,0.14257404,0.2117995,0.14135529,0.020298354,-0.19058356,-0.19597468,-0.14467406
-0.1271282,-0.025325509,0.1595261,-0.16326937,-0.29119,-0.18854626,-0.35386625,-0.096948706,0.053850748,0.024164047,-0.057454836,-0.046515554,-0.032261983,-0.101195134,-0.088723324,-0.1945259,0.1010405,0.14138809,0.03113498,-0.020850025,0.109218776,-0.056599703,-0.037977643,-0.08837304,-0.18658587,-0.45624807,-0.1679626,-0.06404712,-0.22377336,-0.09267228,0.005964446,-0.2804566,-0.12671459,0.050061315,-0.18003826,-0.34876963,0.18430944,0.103532456,-0.11435244,0.022821784,0.011525567,-0.16796613,0.048673794,-0.22980875,-0.2621374,-0.22687052,-0.062546134,0.06539258,-0.035648547,0.022523541,-0.002985481,-0.13675442,-0.15483998,0.14671846,-0.2779698,0.24297939,0.25089565,0.04231237,0.394926,0.106697835,-0.23758481,0.045128554,-0.14262769,-0.054610215,-0.31274223,-0.04596013,-0.13170926,0.1165351,0.00753052,-0.049793817,0.07549048,-0.19063684,-0.07270762,-0.010394934,-0.26612025,-0.16441369,-0.21268557,-0.21186334,-0.24068417,-0.0967126,-0.3006168,0.032785233,0.11609716
0.07695006,-0.13797082,0.1860111,0.09761741,-0.27082756,0.050233122,0.28784454,-0.0665407,-0.038372174,0.5972136,0.01602554,0.15559283,-0.17878744,-0.087250896,0.17122796,0.1788363,-0.033851545,0.1551866,0.13675974,-0.2992589,-0.07695848,-0.06647136,0.040937677,0.027860995,-0.07436322,0.069872394,0.072070375,0.19992174,0.13889003,0.37034667,-0.08565456,-0.12510747,-0.07243149,0.43793398,-0.11322644,0.33183506,0.116023175,-0.21724194,-0.32071468,-0.009118495,-0.47257513,0.022726616,-0.24897878,-0.099353306,-0.25186145,0.031133244,0.13344893,0.70645654,-0.020149387,0.092582524,0.14502504,0.30990627,-0.24702708,0.37212226,0.26968637,0.12897007,-0.34570667,-0.4087013,-0.1368777,-0.13703395,0.39207157,-0.112091884,-0.104645275,-0.43870863,-0.11327543,-0.10324081,0.08338545,-0.3867306,-0.23018685,-0.114999935,-0.15531918,-0.13633178,-0.071007855,0.1916587,-0.32328075,-0.17815995,-0.2154178,0.006993252,0.08575004,0.6176268,0.30387014,0.48022422,-0.0065414435
0.2681258,0.082990624,-0.04838146,0.05752656,0.028790912,-0.12720697,0.017475257,0.086504854,0.047234118,0.056753516,0.1000557,0.33052993,0.24698853,0.16636911,-0.037449222,0.19807068,0.2830977,-0.11122221,0.09113677,0.09328751,0.14732096,0.13235515,0.45548704,-0.006009064,0.1186864,0.32723838,0.17580889,0.15479697,0.06535891,0.09685407,0.15899305,0.12928551,0.083689265,-0.11060322,0.06332461,-0.11148381,0.3229654,0.13289589,0.44207084,0.33638808,0.2933621,0.27228284,0.23416644,-0.14056404,0.08856496,-0.017028961,-0.06650515,-0.13353732,0.0102403695,-0.059421036,0.17197546,0.015089352,0.28729874,-0.29807475,0.32550776,0.33967724,0.15214102,-0.062544614,0.1152156,0.22136806,0.12939058,0.080582604,0.13230693,0.094020486,0.22744708,0.28467986,0.76773,0.42002374,-0.05334667,0.27819088,0.49238023,0.3573865,0.19880682,0.28568807,0.21739127,0.2035588,0.17087863,-0.07450763,-0.23632164,-0.11953801,-0.11857959,-0.039553422,0.24047466
0.108488806,0.32391384,0.2066128,0.16984165,0.085944764,0.14612515,0.08922067,0.13283192,0.589004,0.575233,0.37343892,0.10406752,0.14588316,-0.018215885,0.18484998,0.15985918,0.31522116,0.29163218,0.13483347,0.13335508,-0.06989937,0.036649067,0.07610007,0.057322547,0.099394724,0.18720284,0.30179918,0.24316417,0.19642656,0.12211662,0.05998007,-0.0896191,0.1409375,0.003947748,0.13330148,0.660674,0.28311196,0.11415389,-0.13867417,-0.26900595,-0.12638552,0.039779652,-0.24306196,0.07194042,0.30350646,0.25809047,0.16743621,0.34673312,0.07503481,0.045364972,-0.03652605,-0.08727434,-0.093979806,0.33807135,-0.10346189,-0.09429716,0.08538764,-0.002851045,0.16350617,-0.1441542,-0.528401,0.004710359,-0.45697477,-0.124520406,-0.1271186,-0.18136486,0.14567369,-0.13162799,0.15926288,-0.19134961,-0.53732795,-0.06734278,-0.035420213,0.062541254,0.022579784,0.37527052,0.374627,0.20917073,0.10897147,0.42907816,-0.024105685,0.26646987,0.13202776
