H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi
-0.16495222,0.057248242,0.46505642,0.016640265,-0.12039549,-0.15326826,-0.145994,0.00437678,-0.027879642,-0.104750656,0.12479798,0.35899597,0.27169302,0.144241,-0.029378768,-0.094350785,-0.2253029,-0.07679065,-0.15395966,0.22138192,0.38918522,0.50102824,0.43725705,0.27430737,0.33647814,0.18804963,0.43023828,0.32013777,0.2160872,0.09332332,0.27716747,0.23207873,-0.08436124,-0.06498258,-0.2627567,-0.30424908,-0.06375502,0.3679034,0.22202073,0.5511282,0.7081539,0.42005464,0.38625348,0.3290191,0.15433508,0.16570449,0.12504365,-0.07323596,-0.096319385,0.21695672,0.11040859,0.039523404,-0.19103593,-0.074964285,0.026471095,0.38813588,0.44752067,0.4637724,0.52617055,0.5048794,0.44088423,0.48969635,0.3602827,0.5041808,0.38033688,0.6409228,0.43753976,0.30766204,0.09727104,0.3728355,0.44743034,0.59011984,0.5687007,0.28199607,0.22257559,0.23025237,0.26078555,0.2485039,0.21111123,-0.20342271,0.116744034,0.08305432,0.43041638
0.21333894,-0.06204328,-0.06920333,-0.17875178,-0.0068201544,0.13078941,0.26961493,0.24926339,-0.098710984,-0.31513268,-0.34068418,-0.3335426,-0.13076863,-0.011971532,-0.08733858,0.07073823,-0.07858512,-0.13489549,-0.19188023,-0.530172,-0.35243565,-0.12679262,0.121095814,-0.39450103,-0.36712182,-0.14020309,-0.32250157,-0.18852077,-0.22163497,-0.4511917,-0.28710964,-0.1915407,-0.022913266,-0.42522728,-0.3258154,-0.23305039,-0.75413,-0.65385294,-0.29100868,-0.31846294,-0.28635147,-0.27548692,-0.5018173,-0.09016262,-0.26890528,-0.028556885,-0.26631528,-0.635762,0.038155068,-0.33024096,-0.49762636,-0.5351198,-0.008121663,-0.18138433,-0.39695612,-0.5808613,-0.46408838,-0.45826066,-0.53948945,-0.746093,-0.44832313,-0.61101085,-0.6867319,-0.5639057,-0.84632635,-0.76352495,-0.8015228,-0.74262756,-0.60810393,-0.8180668,-0.7464892,-0.3330448,-0.43826637,-0.3640054,-0.30173796,-0.32900402,-0.28116378,0.07999127,-0.22812112,-0.23188786,-0.6821154,-0.5297524,-0.5594929
0.0744446,0.055485897,-0.017345227,-0.18117774,-0.11424687,-0.10315421,-0.11913569,-0.07342104,-0.094866745,-0.09192209,-0.07765661,0.020655798,-0.12341074,-0.19088343,-0.059264466,-0.044353396,-0.07785684,-0.23234418,-0.023287894,0.07064311,-0.18346259,-0.14987811,-0.010127274,-0.20078515,-0.07462946,-0.045791212,-0.20058644,-0.20412263,-0.10379798,-0.0057795295,-0.16866165,-0.31434518,0.16979344,-0.31784964,0.03945766,-0.027892299,-0.21413253,-0.031635106,-0.0007312527,-0.11005678,-0.0666199,-0.32298747,-0.00073946116,-0.35741916,-0.46231577,-0.41859806,0.03166848,-0.14966533,0.072003074,-0.24739383,-0.26137477,-0.21227531,0.09670005,-0.07764862,-0.28238225,-0.06401453,-0.10635348,-0.057167403,-0.11985545,0.06617595,-0.24268334,-0.029183354,-0.006997262,0.089645125,0.08406682,0.02266895,0.06869401,-0.121733524,-0.018376581,-0.10976587,0.017372018,-0.16715324,-0.20183568,-0.084930204,-0.22241883,-0.42049074,-0.525185,-0.37214163,-0.10163222,-0.2946979,-0.15895425,-0.04063692,-0.04376313
-0.10835141,0.25261164,-0.11791975,0.17628115,-0.062010866,-0.022355368,-0.16445678,-0.16295244,-0.0031730514,0.16898005,-0.13088976,0.07545081,0.02829487,-0.08365011,-0.022167508,-0.100830585,0.15112996,-0.13066506,-0.048088364,-0.090641156,-0.07684366,0.10165363,0.1926799,0.095345914,0.09832059,0.15209423,0.24938367,0.19977237,0.10887914,0.124408044,-0.07940471,-0.061587,0.07353774,-0.04025291,0.2742272,-0.20229544,-0.049194112,-0.13439879,0.011610781,0.23272787,-0.048683435,0.01836457,-0.08325369,0.15702659,0.18949945,0.29292387,-0.13328987,0.0652926,-0.035933085,0.15017377,-0.11900742,0.07569303,0.13743836,0.061957773,-0.10570651,-0.0044945325,-0.023854613,0.1462402,-0.0681941,0.0076820203,0.16401379,0.122443944,0.15781811,0.05516404,0.23085839,0.3247985,0.047552887,0.14000084,0.07344531,0.06541851,0.10857006,0.10889832,0.11048745,-0.18855849,-0.09620306,0.18438447,0.29050222,0.03803477,-0.13463187,0.22590071,-0.24852198,-0.0043504233,-0.1129614
-0.1424355,-0.10397672,0.014397143,0.19794919,0.1708386,0.0023223585,0.014164255,-0.10978703,-0.006500689,0.035731588,-0.096918546,0.12362158,0.25221476,0.19106714,-0.13629696,-0.017319346,-0.21843958,0.11291432,0.16537786,0.017415967,-0.09122168,0.18263277,-0.07691107,0.09065309,0.15955631,-0.04274808,-0.0970376,-0.040843796,0.075552694,0.06863774,-0.063011736,0.1945507,0.015454767,-0.11527664,-0.3684786,-0.06055196,-0.24028477,-0.028181298,-0.121185675,0.08206343,0.25644597,-0.19075641,0.26912278,-0.15267222,-0.15570529,-0.13524924,0.15008605,-0.1265601,-0.13375041,0.13200074,-0.038854025,-0.10358228,-0.36195225,0.07013028,-0.21371053,0.09294034,-0.106747806,0.020251738,-0.10321396,-0.062461935,-0.14308894,0.040842146,0.15144409,-0.040355936,-0.0007320586,0.02923891,-0.17220229,0.036255244,0.1612135,0.0075982446,-0.043407943,-0.029374644,0.10852744,0.016193962,-0.013669692,-0.15099584,-0.08737663,-0.17343445,0.11588848,0.014027583,0.019084148,-0.032814324,0.1179518
0.024767593,0.33773386,0.43689147,0.50248057,0.03461978,-0.0016800491,0.05231201,0.17046632,-0.080481246,0.45664063,0.28367713,0.32684585,0.4559697,0.15457815,0.00436988,0.021751357,0.024825204,-0.00023868629,0.08796951,0.05968884,0.085316375,0.13896976,0.024596944,0.1347695,0.27561167,0.27116773,0.31076828,0.20655066,0.19099219,0.18068303,0.15635182,0.23464742,0.22221237,0.23094608,0.16885404,0.10774454,0.17340489,-0.081047215,-0.2072226,0.1714261,0.10857473,0.1493392,0.13075982,0.03563167,-0.0787615,0.08611613,0.12369699,0.15517998,0.3067831,0.24485272,0.24242997,0.2897921,0.2641186,0.3688701,0.19278507,0.0644492,-0.004002717,0.1440279,-0.34173277,-0.06622392,-0.076103225,0.08123445,0.14474769,0.054969247,-0.14101803,0.07105268,-0.10252401,0.026641844,0.05158801,-0.064278744,0.015344992,0.026161546,0.096537575,-0.16925296,-0.37592295,-0.012466934,-0.12983887,0.026221005,0.04178304,-0.009254608,0.16783611,0.06511793,0.15554209
-0.04030484,0.026444755,-0.18961851,-0.11699191,-0.2359036,0.029769246,0.13095208,0.006564827,0.020241706,0.06152995,-0.22286701,-0.2098536,-0.099893615,0.009445634,-0.16875175,-0.087438725,0.06296922,-0.08013379,-0.16133769,-0.12940848,-0.24157585,-0.33703336,-0.39319658,-0.33907124,-0.32036695,-0.3204786,-0.2455863,-0.20083503,-0.057409946,-0.17652018,-0.08952184,0.11135719,-0.019105626,-0.037336487,0.22376056,0.045122433,-0.47929174,-0.2529858,-0.0625884,-0.18912649,-0.17499521,-0.4059955,-0.1967202,-0.36116078,-0.21006453,-0.16704264,-0.01861054,-0.18097267,-0.041172538,-0.0492264,-0.14820658,0.12769398,-0.14634262,-0.04141995,-0.25043994,-0.3880175,-0.32799056,-0.28136748,-0.19336806,-0.29427123,-0.5701906,-0.26887545,-0.25603285,-0.34793538,-0.22530082,-0.12046854,-0.31797183,-0.18428244,-0.11454621,-0.34881583,-0.3902773,-0.23617281,-0.3046115,-0.3893523,0.08386826,-0.28949156,-0.28374857,-0.20860803,0.0026321171,-0.033148803,-0.29881433,-0.054863423,-0.12380056
0.015507371,0.20095742,0.118654594,0.217252,0.53562707,0.46091712,0.090568684,0.1079107,0.20866,0.03957305,-0.0006799965,-0.0930687,0.13818116,0.2666234,0.27601993,0.31506762,-0.15451191,-0.21780388,0.26974002,-0.07823941,-0.022761313,-0.028196812,0.49472475,0.021621354,-0.007455865,0.040144194,0.008958282,-0.011880573,0.124682985,-0.022647306,-0.03798238,0.2700434,0.09853613,0.034800246,-0.02388011,0.09702669,-0.00074924604,-0.18665981,0.008052878,-0.06526473,-0.18143612,0.12059222,0.058555458,0.0657667,0.12568393,0.29419217,0.21594444,0.121213645,-0.016759502,0.15186846,0.086830035,0.13748185,0.323424,0.08307929,0.30525112,-0.072297014,-0.44103596,-0.03895005,-0.3232014,-0.26635987,-0.27311474,-0.28614375,0.06714689,-0.16526286,0.017430281,-0.14115845,0.16317855,-0.023159223,0.28916016,-0.108723186,0.29997393,-0.15167244,-0.09077344,0.27207977,0.051044527,-0.009244385,0.07132649,0.23267527,0.24366517,-0.009289693,0.16881612,0.015501758,0.01686786
0.116250396,0.10769843,0.08175862,0.05720764,0.22861648,0.1739584,0.040401563,-0.07254209,0.3046855,-0.08189817,-0.03169843,0.0661742,0.09109869,-0.12962955,0.07704157,0.050073154,0.12356029,0.08519985,-0.1173498,0.018980386,-0.0045389226,0.040622134,0.13271366,-0.02788837,-0.107420415,-0.13970847,-0.051107686,0.05023466,0.15136164,0.097712025,-0.020433,-0.15885572,-0.026872866,0.22223689,0.18180567,0.0028043066,-0.037639484,0.15436143,0.14409085,0.09028403,0.15295427,0.10027791,0.11032533,0.11957736,0.15093252,0.16825296,0.19385019,0.18387085,-0.13146536,0.22854953,0.2037916,0.19269715,0.052155744,-0.10084832,0.008480927,0.15039128,0.15118189,0.17209841,0.19082856,0.08464157,-0.20628391,0.124409065,-0.116313234,-0.06138401,-0.103473954,0.11491836,0.14073731,0.06740549,0.10782813,8.185878e-06,-0.04300694,-0.028050862,-0.07081915,-0.08343022,0.14924107,-0.040375292,0.1784502,0.16337603,-0.05995045,0.1987497,0.311797,0.20681562,0.25280634
-0.22769272,-0.12363926,-0.11830459,-0.15141673,-0.25155425,-0.068648376,-0.15093844,-0.053016897,-0.06561884,-0.2740505,-0.06722858,-0.15072718,-0.13737306,0.12423474,-0.13250491,-0.25467357,-0.12572034,-0.31737414,-0.38461784,0.014274651,-0.16151424,-0.14727603,-0.32743576,-0.292618,-0.43855086,-0.2658265,-0.31722143,-0.30553377,-0.1850465,-0.3299537,-0.33159593,-0.08395996,-0.16794223,-0.2766361,-0.20134883,-0.1259527,-0.15325277,-0.12135764,-0.17549801,-0.24195985,-0.19976892,-0.28303525,-0.38916332,-0.3952775,-0.5293902,-0.4463517,-0.101140805,-0.22322558,-0.13816102,-0.3357412,-0.2997533,-0.2946476,-0.19065231,-0.3124292,-0.12160602,-0.12658787,-0.23956098,-0.23064944,-0.03279903,-0.21187904,0.058281563,-0.15796584,-0.021809755,-0.13685927,-0.20105773,-0.12680264,-0.1280164,-0.08188659,-0.27955222,-0.15337685,-0.1854373,-0.14763008,-0.1687218,-0.30473226,-0.29679704,-0.42667815,-0.342815,-0.34369048,-0.20991397,-0.4132485,-0.16955681,-0.21884163,-0.19120407
