H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi
0.040366054,0.06752673,0.356067,0.024207596,-0.095587626,-0.18321395,0.02413562,-0.08538374,0.04176208,0.06677788,0.16107863,-0.058710176,-0.16729492,-0.099902146,-0.01190082,0.11679913,-0.042764448,-0.10447389,0.07742233,0.002135378,0.07217706,-0.17219143,0.04671683,-0.06309686,-0.0015030418,0.07920068,0.07490633,0.09053384,-0.029347634,-0.0011178583,0.2779719,-0.06411323,-0.06886433,-0.059461553,-0.15720765,0.0019274696,0.35084993,0.13468817,0.13836819,0.0036073881,0.07138177,0.07001625,0.26511088,0.1673051,0.36307046,0.1639436,0.0075893677,-0.24133955,0.0058022323,-0.02336007,0.08662392,0.17737624,0.030870765,0.037130684,0.2519185,0.22822504,0.38539737,0.3988735,0.3084092,0.34855393,0.043117717,0.31997272,0.38932577,0.46870545,0.053437088,0.23180924,0.3936002,0.097948596,0.045701303,0.45421124,0.45614156,0.21104881,-0.0057361033,-0.25296065,0.12155922,0.17189465,0.22144619,0.18439719,-0.061907772,-0.15632811,0.22233038,-0.21087669,0.041612733
-0.1860217,0.066343375,-0.30049115,-0.58431816,-0.17861982,-0.16262326,-0.10437917,-0.08815196,-0.27021787,-0.1032395,-0.26137683,-0.28070918,-0.28255367,-0.24857162,-0.24260521,-0.44183773,0.0037516737,-0.015130102,-0.3817335,-0.29898673,-0.42297325,-0.32058346,-0.094880454,-0.2921334,-0.40362665,-0.35782894,-0.27648637,-0.30203256,-0.39292267,-0.25622204,-0.013071536,-0.37181485,-0.06461102,-0.40295488,-0.0011049771,-0.08185122,-0.5030232,-0.64649373,-0.2870958,-0.6006451,-0.51992416,-0.34866834,-0.57163155,-0.42348468,-0.29781595,-0.25851423,-0.4686925,-0.5765012,0.03194813,-0.5207558,-0.28372163,-0.41305098,0.27839878,-0.2870116,-0.49621618,-0.46560365,-0.2301268,-0.49981126,-0.33813244,-0.14200631,-0.45996347,-0.27878663,-0.3692492,-0.33887967,-0.22880511,-0.19161282,-0.11094536,-0.031772237,-0.39655918,-0.09311823,-0.15484707,-0.62076086,-0.7398296,-0.25740746,-0.6185124,-0.2940617,-0.6120393,-0.37486932,-0.3792051,-0.40227285,-0.69677955,-0.71590394,-0.41991353
0.2516397,0.20747891,0.18428338,0.22453006,0.0414855,0.13799497,0.39800268,0.44955847,0.10499352,0.32096148,0.13665779,0.1921497,0.17224045,0.25046563,0.17985733,0.19045915,0.1709219,0.30103958,0.05608105,0.026243053,0.15648597,0.14244068,0.11719426,0.40190744,0.24040093,0.26281938,0.31862396,0.16145532,0.050643858,0.044881124,0.046556603,0.10805896,-0.016530877,0.030910717,0.11618131,0.036348313,-0.2427973,-0.162334,-0.024204345,0.25841647,0.122894764,0.2355302,-0.04074938,0.11252908,-0.11466565,-0.15044168,-0.024196858,-0.104159504,-0.020199897,-0.00010264414,0.012819768,0.017395906,-0.025518095,0.12256713,0.07588742,-0.06258396,-0.0066825724,0.08828541,-0.0028786054,0.24684437,0.06626999,-0.111259975,-0.18264648,-0.021880357,0.12257546,-0.044944827,0.21914668,-0.13336131,-0.17538472,-0.111583814,-0.109472424,0.09931365,0.016083863,0.2043898,0.028008426,0.18749362,0.0035920276,-0.1762139,-0.20460147,0.06271049,-0.006702149,-0.20132725,0.030336592
0.101020694,0.104337975,-0.1451711,-0.014797511,0.066500574,0.17313181,0.16472265,0.2639906,0.2624029,0.41095087,-0.025056213,-0.10660284,-0.10400155,0.045973845,0.18430269,0.3462299,0.11867931,0.15124683,-0.0048818677,-0.012605415,-0.24851392,-0.10003944,-0.12585321,-0.21568021,-0.25760087,-0.063550234,-0.19874087,-0.1554973,-0.16697486,-0.2631888,-0.11307644,0.04997437,0.047426566,0.17626387,-0.013256722,0.25768048,-0.14794323,-0.2021373,-0.09876762,-0.2498204,-0.19438364,-0.067820854,0.17833358,0.02571974,-0.09179581,-0.10535938,0.032081727,-0.24698871,0.12107452,-0.13525067,-0.11746656,0.14306961,0.061951257,0.20556164,-0.12962842,-0.23699163,-0.28836498,-0.3549589,-0.3689155,-0.20569444,-0.10427084,-0.14231402,-0.15679316,-0.364706,-0.13657445,-0.54036576,-0.34696344,-0.14749034,0.032010414,-0.2662541,-0.25522256,-0.35484326,-0.18315656,-0.026393542,-0.057052,0.17730181,-0.1972272,-0.094214685,-0.026100386,-0.01289488,-0.12335626,-0.2350126,-0.004482975
0.17531306,-0.11254409,-0.01642186,-0.003536065,0.10548679,0.20839535,0.060877915,0.11330746,0.03873965,0.063475564,0.036353454,-0.0034170577,0.16615376,0.005703336,0.2028459,0.15875816,0.04613148,0.19576012,0.30185023,0.02925166,0.25753593,0.20947093,-0.18941791,0.13145253,0.009449902,0.10646393,0.03664023,0.13698804,0.14504285,0.039738245,0.044186853,-0.0529879,0.11945495,0.061550442,0.15188481,0.27470446,0.20199977,0.05890281,0.19136609,0.27815703,0.2588607,0.070046104,0.31274945,0.017804189,0.2180608,0.21882164,0.2340175,0.061648957,0.11058383,0.24147782,0.23768322,-0.07440957,-0.04054004,0.2532072,0.022044761,0.065240964,-0.22196421,-0.0707468,0.32389987,0.14691147,0.20858616,0.26671708,0.10593027,0.31079283,0.1568737,0.22610748,0.20871998,0.060934015,0.45179963,0.18654566,0.1352943,0.38812312,0.3762863,0.17769302,0.11300862,-0.058428995,0.138797,0.13777907,0.25487202,0.1488232,0.17253615,0.22169945,0.161434
-0.10123696,-0.29774955,-0.19799706,-0.29442206,-0.30507797,-0.27857324,-0.2529176,-0.23022643,-0.120978914,-0.37565637,-0.16627857,-0.13301842,-0.019845426,0.0003165825,-0.0058506285,-0.33195525,-0.14632457,-0.2102305,-0.45179653,-0.3389149,-0.22064342,-0.032294407,-0.17778891,-0.115921006,-0.20978633,-0.1833315,-0.16716126,-0.11029567,-0.17700776,-0.13123897,-0.07670791,-0.20945089,-0.23312764,-0.12712057,-0.28555608,-0.11100957,-0.07922738,-0.29305112,-0.11373924,0.097631484,-0.08850586,-0.022958318,-0.56434,0.06911815,0.21709174,0.11336522,-0.13487126,-0.12768976,-0.09204563,-0.14090839,-0.084341824,-0.35904258,-0.30737674,-0.13515654,-0.11161493,-0.35025176,-0.38972116,-0.21072619,-0.3396678,-0.03121372,-0.17881139,-0.07728528,-0.15391585,-0.18516178,-0.21308826,-0.030865619,-0.23379867,-0.14975521,-0.22136101,-0.08741762,-0.14559117,0.050333764,-0.13192743,-0.3822888,-0.37465987,-0.04766245,0.090831906,0.027556902,-0.090681165,-0.1750659,-0.298425,-0.17517683,-0.25507468
-0.05689423,-0.22805783,0.019641725,-0.11156584,0.27290946,0.18278112,-0.07536677,-0.13216154,-0.04334472,-0.06751696,-0.07659253,0.1276116,0.14600962,-0.17238992,0.0007276442,-0.2215751,-0.18391213,0.0014671092,0.25268656,0.060147565,0.15967669,0.08992639,-0.048765,-0.0041539473,-0.010126088,0.036270104,0.035835784,-0.034059744,-0.05178782,0.015067004,-0.0014909289,-0.11647772,0.09798802,0.007845572,-0.101497926,-0.04485277,0.0017538721,-0.024730068,-0.015572888,0.22706969,-0.08922486,-0.2126913,0.16781592,-0.27501783,-0.028346298,-0.1779369,-0.14054936,-0.08883004,0.20469059,0.025526749,-0.02553443,0.06849551,-0.07395608,0.11968307,-0.09079195,0.096893005,0.107928306,0.040068552,0.22523254,0.21484014,0.031014308,0.25764287,0.17187002,0.040165953,0.13987392,0.210483,-0.014029118,0.13717316,0.3693415,0.0068791206,0.08985843,0.036040876,-0.092532165,-0.04470906,-0.03283515,-0.39288032,-0.21411082,-0.17332125,-0.31146425,0.09755441,-0.10423967,-0.064343624,-0.052757915
-0.3074841,-0.15699522,-0.17888889,-0.18032594,-0.17934905,0.011989344,-0.15042894,0.0059056026,-0.10175014,-0.10642894,-0.14623195,-0.0027858708,0.052494526,-0.12522626,-0.14641488,-0.09485789,-0.025084537,-0.1414393,-0.105805464,-0.0415299,-0.14347593,-0.15509036,0.031666562,-0.26498437,-0.15750565,-0.24996479,-0.22169134,-0.20601898,0.069157034,-0.05246186,-0.2808208,-0.13034634,-0.11937149,-0.12786286,-0.012810005,-0.09790151,-0.015805328,0.070761696,-0.16393141,-0.2797189,-0.3053142,-0.4208132,-0.22176066,-0.41960236,-0.4322586,-0.27788484,-0.026475389,0.12012867,-0.21595372,-0.07189759,-0.18738756,-0.10912467,-0.053053018,-0.044134766,0.030070027,-0.011207294,-0.057483982,-0.10445867,-0.18247035,-0.3077494,-0.08069315,-0.3220197,-0.1201758,-0.35468346,-0.2214366,-0.2146709,-0.19003774,-0.2991783,-0.15459883,-0.39991885,-0.34258977,-0.17745027,-0.15600604,-0.3245775,-0.4290146,-0.5030715,-0.27598614,-0.12364307,0.056733843,0.19821021,0.061270334,0.042967234,2.2630862e-05
-0.015021985,-0.05220177,0.103264995,0.1251305,0.106264554,0.11840949,0.068646476,-0.15279533,0.08868341,-0.046454366,-0.09965593,-0.12626113,-0.17535338,-0.09822852,0.06479544,0.05239465,0.14045623,-0.053034525,-0.13892224,-0.10417538,-0.23902325,-0.1360197,-0.22740856,-0.14209902,-0.14902137,-0.012167522,-0.050592005,-0.0672248,-0.19078012,-0.19029544,-0.2346255,-0.04549496,-0.008946189,-0.108319364,0.23968722,0.08064258,0.0829142,-0.12780502,0.13822222,-0.10289249,-0.27300766,-0.15757416,-0.20411055,0.07186472,0.20021863,0.123599544,-0.2132069,-0.2645425,0.03709895,-0.17638029,-0.1653044,0.02777691,0.09282004,0.045069363,0.18304786,-0.1710584,0.027871218,-0.019839168,-0.12598708,-0.17857035,-0.18741064,-0.2921228,-0.2068747,-0.12425207,-0.16279893,-0.29894298,-0.24832396,-0.26461723,-0.25835133,-0.34481847,-0.3675999,-0.020322844,-0.24221453,-0.21453793,-0.11545224,0.21571937,0.122479945,0.054022163,-0.010122221,-0.23496634,-0.28590834,-0.20118867,-0.11583135
0.020657234,0.09306978,-0.110272266,0.08893727,-0.07994537,-0.013365777,0.12950371,-0.032026146,-0.04823246,-0.005951246,-0.016766617,-0.024722282,-0.015434895,-0.055275664,0.033567354,0.004518331,0.017065236,0.03717289,-0.07469137,0.10091628,-0.28292075,-0.22171102,-0.14578372,-0.18363263,-0.08812424,-0.0007556715,-0.056338754,-0.15000457,-0.12632707,-0.14151312,-0.1556186,-0.13901554,-0.10766346,-0.38555345,0.025602186,-0.023537999,-0.20848164,0.036956996,0.11535198,-0.055740952,-0.39638925,-0.10674224,-0.19846965,-0.3549396,-0.35863644,-0.24150291,-0.43702826,-0.06792788,-0.057352155,-0.06432926,-0.26892284,-0.38908306,0.044566203,0.04974245,0.055486575,-0.00073062663,0.053204022,-0.048438888,-0.27352998,-0.04503618,-0.042398233,0.036815446,0.15612265,0.13679051,0.072373055,0.12688701,-0.08547487,-0.048343357,-0.17433165,-0.013046522,0.116173744,0.06362113,-0.19632617,-0.052047603,-0.30833256,-0.23496766,-0.35482517,-0.31835666,-0.34828663,-0.15283395,-0.15450871,0.034446403,-0.22094253
